,media name,media,post,link,time
0,BBC News,bbcnews,"""When it hit its final price, shattering all previous comic art records, the auction gallery erupted with cheers.""",https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3GBPlow%3Ffbclid%3DIwAR145XmXmrkxeU3-gTRdM6qEwci-ohm65tlKoidMzL_cuOFZJK5znY_gwT8&h=AT2HOdpcXAw72dVGkBbKPawz9gh3Ojyx9nTj6M36QBzpMFKGkK1vBd_k_12Uj5NHFAjDxWEktjKM6uGphAGKMqh4hsmY-LJ88dSLbHfkRAlqzq-SP4sW9RTA6s14KHUpvIDNJfDYogzMVGae1f4b&__tn__=%2CmH-R&c[0]=AT0NS1Sl1ge6uQTAaDQbmDgFBxt7PZA14_Y4D_I3nkrUn80a20dLOwZ9MlC4dC68mhvq4hXnWkgFm39MSpPdLaRsCAHbdXT6KPLF1ivHJmJhKcGVuCA1H_47sanZUzoaRbRAacrhsuZMBB5Wn2UnpEHlonYgMfkYSgCxSRgQdt7APKHm,3h
1,BBC News,bbcnews,"""Americans can rest easy because Martin Shkreli is a Pharma Bro no more.""",https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3FtHHLo%3Ffbclid%3DIwAR2pZuIcoNt1HW8snI_eCFhj5BtR7q19jdnLI21fIrfLYX4yCYB0sCNwsjU&h=AT10Iy4Cm1BKZJm8bAvO54A2rO6jetKWfWIZYnWh0guKDO1UYlLnEsk-lUykTqDktn2121QBeKC7h73CCGfxYNc62AL3aRMnZbMADf0pXZhSXclhTPg6Ed28fEg5TPpLU6wtwJK5R2F6W7r7CoRN&__tn__=%2CmH-R&c[0]=AT0oZm1bus68nJt2n6Od4QD1B92JOekgvAIUPqoIEUghe3eQrwcLe7JyI_rKfN0UbLBwOz99AWbsEGcUCo-PQJfuHQDZ8tWPTkEfK8v3jwkVnyKXGxDd7YYNOHyXZNhkihr7Z5LG_oxs_p3wTqCL4kKoy5sS8Ho7Ox1S0mVWkEaU7fdD,4h
2,BBC News,bbcnews,"""Everyone has that one person - whether it's a family member, friend, ex-boyfriend or ex-girlfriend - who they feel they spent time on for no reason.""",https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3K8nzlw%3Ffbclid%3DIwAR0jS8MopPJNOchB8J8qQSk7Lg6hRQb2XhxSw2Ltgk0Gv9VUbbkcm4xrpVg&h=AT3d5cEZWqIZknhr97k02QtI1oDPOjvOx068lU893enruD_uY9BJafAAFPV0ndW6kgmENNMbD66M6LScpyzde7a5GYt2e_kJfTK-EXEQn_hB5C1ALYRHkSVYAr7gfMDiFIPKJAbUIfYeCTkXfJ8K&__tn__=%2CmH-R&c[0]=AT1XJFmy_aqQuRRkpPNxXXCZYm8qERNwX3NPVzoUuVdozFbDwyL3nCGWLgAuhL5J5arRr07c1ImGvk_LHALd8oO-HzNeNsAev-cEe3Pw4uCGVcL-1U-G7UaEoNu4LSOB4EkCd9ZeDxi2iPIBgwIUMyfB4xT8Ai52h6n9rZJJ6VoVReXQ,5h
3,BBC News,bbcnews,"For millennia, people slept in two shifts – once in the evening, and once in the morning. But why? And how did the habit disappear?",https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3Fm6gK8%3Ffbclid%3DIwAR145XmXmrkxeU3-gTRdM6qEwci-ohm65tlKoidMzL_cuOFZJK5znY_gwT8&h=AT3vvsVBQNz3nLweDUejEeLZtBK4910GccgeozKWv-yMKD8RDgwSCj5Z9FL0XXl8IINJJ315AuTY6JLsRryEJJIfy1EiyIS-qLnb0YBMS22VqDId7MxRnvGqOYb2oN5-FhRxeHg6BnXTDPNhhjV-&__tn__=%2CmH-R&c[0]=AT15_X8wd1vLOqsUqprAqgw6xmI94vRULvMPah47UG23wb27siop-FcnBIC_r1w04lbD6PJzYTfAcCWdcyb8lURIgtBGro-xIrKUCfRt0GBJ49q1Gd1nZo-T0KLCSWBYLh8AiU5Kf9T6qchRL0vJ6WR5tJeKH_jDl70tv9wDSlH2Ouk5,6h
4,BBC News,bbcnews,A reward of up to $10m (£7.3m) has been offered for information leading to the gang members.,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3FpLB7X%3Ffbclid%3DIwAR1-lgEvSjvwfTwiTKqeEjLMw7FfpncnXtfMAolA2cwliYGlKjhAC8FyfH8&h=AT1Lqm3tbnsB1ML9ZtbcC0usG9inn2QgJuJ2DXEyUI-3YgoR4UhyvalQLWCttJ9P6IbhFTkyvZCs377vkqNSWlTDRFIJVV6njNVKH2_uGs6OPoBJ5IWWlRKa4ldbQLjL4dKY4xCIviPXhw27Zd7l&__tn__=%2CmH-R&c[0]=AT1tAPIig_J21dImRlEjqOggmb2OBeV8HKe4_0MMMoxlfE5g_KCnHmkB2WYxUBBZh3QH8Vw5zXAsHCvxqImBnU83hasFwXWs_RdzlDJGhrBcq3J_T7b7ol7ZSdIlLmUPZo5tNFZZSCj3EdrwdV1yfbfVoglB33c-c_3-cke4SzOshqPT,gtSmlp60o4n9soh1fi21g674a21re652cc7104had8
5,BBC News,bbcnews,A plane erupted in applause as a Canadian doctor delivered a baby on a flight to Uganda.,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3A9744c%3Ffbclid%3DIwAR3tfWRyDBftRz5nqAlHkc9CEDVDl-_qvQjMYHRRICXZVmSHt3gnQ_i4v6g&h=AT2lnx3PCHQhpRyHJmr7qh1j-X-zMxSzgYMdDd4Y4SBtaxeY-IRtNN8Dsc6IHvMIkHycxf74FDVXv2k6oLV-cX4Khb80Xm7iE_yFiLELceujek4K9Ftja4rfN1NFD6lYPzoXLHzTEZWpAD55mcpp&__tn__=%2CmH-R&c[0]=AT3EnFDpxqMgCWO65G6NKagtEkQlBxIVCIEqQD4Bf0TDvP0MkxxxOnAOiKg79dfijibtr6GoNYT-v6mbe8HEAURM-bzjDKi5e2GYX9_nFEZt_lrfr3zEiKJNXAGKkWQggDvVfDiHOmCnoVCJ3h3I-1xGUatdxnVCKvE_optgCj_znlSz,gtSmlp60o4n9soh1fi21g674a21re652cc8104had8
6,BBC News,bbcnews,"The ""false flag"" operation would look like an attack on Russian-speaking people in Ukraine to justify a military response, a US official said.",https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3tILsKT%3Ffbclid%3DIwAR3sWCEhSOkBIf0t6HL_auqEYWPPgWH267HbIqu0iynqj2HuwT3RgDKSlNI&h=AT3nrUADkgv17wSHoOoOKcEq3MJSQfe6PbF_NlfcWTJbWD8QvBZc73P0PuCd_ZjnrwGjtk7VoY5XnyT7VGAlhtLEKn2h5KXe57W1RjOmJHaf6bp1kZ7lcIx1vzS4hdSPocukp4qy7vpvhX1EHtbn&__tn__=%2CmH-R&c[0]=AT0Iw0bxA2ORQc9nZKK51XOUVO9ex2G4CVt6sELa4MMX8WIOsdRs2dByutRJ46BYBbTHVzVtn0m6y1xICbdjk_2MQi5M5qOmqusU6WiwK8GnosQTiy_OyDk0FY1lWgQW3-PRAvnbw9oIG_QgxDoOfkTxaBohr3BwifchaNkroCU5GELb,gtSmlp60o4n9soh1fi21g674a21re652cc8104had8
7,BBC News,bbcnews,He has been taken to hospital from the UK prison where he is serving three life sentences.,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3rdHDKs%3Ffbclid%3DIwAR3KkEsX-pWBXuPn4Zejwh0V72iYwsl_pRzUDAMmn2eRpkx3oRUDccvLm1I&h=AT06s_CAe0ysUbgRmDR9gfLZNfTwCL2BV6QOR4Xc_JjHnE7w4y7mlbhQxtp5lvO3QUmxXPlHlOMWbvKjFUGy8DFqmzWKbIVTuFFNOhahVtXIz14y27d1xUIwisj88UyesML8QtxFckG__2hYIMbk&__tn__=%2CmH-R&c[0]=AT1UXowJ4-KuyhLf7Cl-s1ZKmtrIkX4GUQ0Y-cZ27qbX902bPwBVjc6UP4L2z5w3MrUj7gwsYf5jTz2brKou-xcD8p_U1oULffB3yK6CuFfMs3ukyclOWcLOhVEetl2Q0-Ni4yM-Fuqe5ld-_kEZrzIVuwRKnQGaTlU7IhyQs5GWlEHF,gitflu024mu57Sl99p1onsgorh27e3hf35cic26fgd
8,BBC News,bbcnews,PC Mark Lee kept his job but was fined for taking a walk about 20 miles from his home when it was not allowed under UK Covid restrictions.,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3GvJmBg%3Ffbclid%3DIwAR0zLaZthU2KB5RugasloNf7p-thcaTtPUMze0S1NsHWAaoOYRZzKzuutn4&h=AT2RG0jKvoVzkkPgvt-ZVsQAQzfV6B6cOL4as_DDeH6gPHHNBBOMVfx6P-9_Q1_zbjQZoW3kwuw6aGWi1hxQUmYVL3hhm526snSPpzPabOyKsPmQES12U4mvRtXi1RObaRzKjdD1rsF8-XMT43Kk&__tn__=%2CmH-R&c[0]=AT2OdHUhzS0oDOtC29zpHWvvslQcPFyR7uleDKp-5Jut5O5qofpX0-w7-yPxPKKHDVd_nzWoQiWGDhLeFmqrOft5aCZib5ls_Fl94PG_SYZyWcvtm2EZ78N-2BxVbwlNhTUPpAQMqI4Nvd-mtUX2uUhEsBf8L_3xamiVIqqHCG4ZRDqC,gitflu024mu57Sl91p1onsgorh27e30f3hcic26fgd
9,BBC News,bbcnews,"A bigger proportion of deaths recorded in the daily data are now people who died with Covid, rather than from it.",https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3fmNwzI%3Ffbclid%3DIwAR1oyYXNgk2AS2Dc7McjZc6fOp_KScARD0c6HNBC2V_UUzHmhMV8hylxzN4&h=AT0l4M3gV7OzFm18pX7cV36K9uE9lzXWf_eWGcUzKAqvbtsbphmkU5vgjk34pDJKCqrjZ4-lyccDZY1UjbwnI0MrCuac2pynkTh2OfNNykfSG_g4zO9zdQKnBKTHzVcEC21gKf-0ib7LCGIZX5l4&__tn__=%2CmH-R&c[0]=AT0Ri7g5YWjoN4SKr61rjtISlZpsO4kCt_hmlTtNcwmSTe56ZCa0o60FGZ0Xk-d1yszGCf_bDh_Qe-KYUFwSwmbNOeBczd9WsiyhSZA6YbizO1A2BaJLDXFlV3Wx7oiX3Bb6glKk5mRj-vUEITKHprE-PBYZhk72_EzqvzNvQeS8W4bD,gitflu024mu57Sl91p1onsgorh27e31f3hcic26fgd
10,BBC News,bbcnews,"""I have had Covid and I have got natural immunity, and I think we need to ask the question why are we not considering natural immunity.",https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3zYH0Zt%3Ffbclid%3DIwAR1oyYXNgk2AS2Dc7McjZc6fOp_KScARD0c6HNBC2V_UUzHmhMV8hylxzN4&h=AT0lX34WMMa0z0pMlSsvSFe63SBSHcP_bS8pvp8xMCUPpZm2NOpSkRjCGdVAZQSlefMniBpUNw3mD6g-PDDiiWR99gnZk5tEwggd6sKVUjnrAgrie98YBiaDFzCKCLFDko6yeDhwo20x1IR8LjGI&__tn__=%2CmH-R&c[0]=AT28PCY6iUfh4Xw_wrlrRQKuQLDSN8325M3SnvbH-nqlhL0ENuPz28y--Q8Ekfs_nW4YlA9U5Plg3CCl6VLnWA1ix1fSPhkRPiEd4Heg-yiW36WFjKcN-UuLaP-HW_LxQjDixssw0dOt2dlz2x7ur3PrDXyN2Cwl-zGIQegpiwbu_HJj,19t115uhhuSp0ihmml8ionftchsahor6u7l7cecdt0a
